Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,174.979996,177.750000,174.229996,174.240005,173.102539,5906400
2021-11-23,173.050003,173.429993,170.410004,172.149994,171.026184,5302100
2021-11-24,168.490005,172.429993,167.669998,172.029999,170.906982,4637600
2021-11-26,168.059998,169.679993,167.539993,168.020004,166.923172,4751100
2021-11-29,169.830002,171.149994,169.229996,169.869995,168.761063,5448700
2021-11-30,168.789993,171.550003,167.529999,169.240005,168.135193,11033700
2021-12-01,170.889999,173.369995,166.679993,166.699997,165.611771,6618200
2021-12-02,167.279999,170.550003,167.000000,170.000000,168.890228,4398900
2021-12-03,170.619995,172.070007,166.759995,170.240005,169.432648,4878500
2021-12-06,170.830002,171.210007,168.059998,168.910004,168.108948,5636900
2021-12-07,171.110001,173.350006,170.399994,171.289993,170.477661,5898700
2021-12-08,171.220001,171.789993,169.839996,170.250000,169.442596,5614400
2021-12-09,169.289993,171.169998,167.990005,168.100006,167.302795,5171600
2021-12-10,168.500000,170.240005,167.330002,169.059998,168.258240,4791100
2021-12-13,168.809998,169.389999,165.259995,166.839996,166.048767,5972300
2021-12-14,166.289993,167.080002,164.210007,165.399994,164.615585,4872200
2021-12-15,165.000000,165.669998,161.820007,163.899994,163.122711,7144600
2021-12-16,162.699997,165.940002,162.529999,162.720001,161.948303,7138100
2021-12-17,161.630005,162.860001,160.550003,161.360001,160.594757,7705100
2021-12-20,159.339996,159.600006,155.470001,156.979996,156.235519,8411900
2021-12-21,166.690002,171.190002,164.710007,166.630005,165.839767,13862900
2021-12-22,167.240005,169.000000,164.089996,165.440002,164.655411,5811300
2021-12-23,166.250000,167.160004,165.440002,165.669998,164.884323,3876900
2021-12-27,166.520004,167.690002,165.479996,167.580002,166.785263,3769300
2021-12-28,167.800003,168.250000,166.300003,166.419998,165.630768,2658600
2021-12-29,167.070007,169.800003,166.600006,168.779999,167.979553,3830900
2021-12-30,168.309998,170.119995,167.199997,167.490005,166.695694,2666800
2021-12-31,167.559998,167.720001,166.210007,166.669998,165.879562,2752000
2022-01-03,167.529999,167.910004,163.309998,164.669998,163.889053,5670500
2022-01-04,165.880005,167.179993,165.000000,166.389999,165.600891,6064200
2022-01-05,166.490005,167.009995,162.100006,162.250000,161.480530,5021000
2022-01-06,162.089996,163.190002,159.059998,161.039993,160.276260,4144600
2022-01-07,160.770004,161.139999,156.860001,156.970001,156.225586,5108000
2022-01-10,150.520004,151.330002,148.779999,150.440002,149.726547,10439000
2022-01-11,150.479996,150.839996,147.600006,150.300003,149.587219,8175400
2022-01-12,152.130005,153.460007,150.740005,152.210007,151.488159,6351200
2022-01-13,153.199997,153.600006,149.020004,149.589996,148.880569,4990900
2022-01-14,148.389999,148.839996,146.850006,148.179993,147.477249,6030500
2022-01-18,148.059998,148.830002,146.300003,146.949997,146.253098,6931000
2022-01-19,147.759995,149.100006,145.020004,145.110001,144.421814,4823800
2022-01-20,145.460007,147.380005,142.500000,142.729996,142.053101,5366500
2022-01-21,144.320007,146.360001,142.850006,142.949997,142.272049,7553400
2022-01-24,140.809998,146.309998,139.559998,146.000000,145.307587,9733200
2022-01-25,144.970001,147.960007,142.509995,145.479996,144.790054,8195400
2022-01-26,147.779999,148.970001,142.729996,143.990005,143.307129,7444600
2022-01-27,144.990005,147.350006,143.580002,144.639999,143.954041,6396400
2022-01-28,144.119995,146.029999,140.610001,145.910004,145.218033,6130200
2022-01-31,146.270004,148.179993,145.220001,148.070007,147.367783,6932200
2022-02-01,149.500000,149.679993,146.800003,148.220001,147.517075,6695000
2022-02-02,148.350006,149.460007,147.529999,148.710007,148.004745,5491700
2022-02-03,147.399994,148.460007,144.970001,145.309998,144.620865,5240200
2022-02-04,145.369995,146.479996,143.639999,145.389999,144.700485,4313400
2022-02-07,145.300003,146.119995,144.220001,145.139999,144.451675,3877500
2022-02-08,144.740005,145.500000,142.300003,143.529999,142.849319,5829400
2022-02-09,146.110001,147.360001,145.669998,146.259995,145.566360,4551000
2022-02-10,143.960007,147.539993,143.850006,144.820007,144.133194,5142600
2022-02-11,144.759995,145.059998,139.559998,140.179993,139.515198,6710500
2022-02-14,140.080002,143.210007,139.789993,141.589996,140.918503,6841200
2022-02-15,144.220001,146.320007,144.100006,145.580002,144.889587,7820200
2022-02-16,145.020004,146.949997,144.610001,146.490005,145.795273,4817500
2022-02-17,145.539993,146.910004,142.639999,142.800003,142.122787,5202300
2022-02-18,143.369995,143.940002,141.809998,142.949997,142.272049,5177400
2022-02-22,141.589996,141.639999,136.160004,138.190002,137.534637,9604500
2022-02-23,139.660004,140.970001,136.509995,136.830002,136.181091,7636600
2022-02-24,133.000000,137.419998,130.929993,137.169998,136.519470,8417200
2022-02-25,138.130005,139.220001,136.190002,138.800003,138.141754,5424500
2022-02-28,137.059998,138.380005,135.039993,136.550003,135.902420,6613300
2022-03-01,136.720001,136.750000,131.149994,132.220001,131.592941,6534000
2022-03-02,132.979996,136.610001,132.770004,135.679993,135.036530,7743900
2022-03-03,136.740005,136.800003,133.449997,133.970001,133.334641,4576500
2022-03-04,132.509995,133.619995,130.699997,131.179993,130.855789,7084500
2022-03-07,131.000000,131.029999,124.169998,124.440002,124.132454,11383400
2022-03-08,125.239998,125.470001,120.800003,121.209999,120.910439,9089400
2022-03-09,127.379997,129.649994,126.629997,126.949997,126.636246,8845100
2022-03-10,124.019997,126.599998,124.000000,126.029999,125.718521,7167400
2022-03-11,127.010002,127.870003,122.510002,122.629997,122.326927,5882000
2022-03-14,121.529999,122.449997,116.750000,117.570000,117.279434,13884900
2022-03-15,119.839996,120.419998,117.750000,119.400002,119.104912,10431300
2022-03-16,122.849998,126.110001,121.930000,125.190002,124.880600,11100400
2022-03-17,124.940002,127.410004,123.699997,127.410004,127.095116,6845300
2022-03-18,126.849998,131.460007,126.699997,131.240005,130.915649,10350900
2022-03-21,129.720001,132.309998,128.619995,130.190002,129.868240,14388500
2022-03-22,137.279999,139.000000,132.990005,133.089996,132.761078,19731200
2022-03-23,132.639999,135.399994,131.199997,133.000000,132.671295,8068800
2022-03-24,133.750000,134.190002,131.199997,132.080002,131.753571,5853800
2022-03-25,133.050003,133.869995,131.710007,133.699997,133.369568,6287000
2022-03-28,133.759995,134.860001,132.169998,134.809998,134.476822,5804100
2022-03-29,137.850006,139.750000,136.949997,139.139999,138.796127,7275900
2022-03-30,138.979996,139.860001,137.559998,138.539993,138.197601,5545800
